category_slug,category_label,category_desc,turnaround,item_name,item_code
bookkeeping,Bookkeeping,"Day-to-day accounting and statutory returns kept current, so year-end is never a scramble.",Monthly,MIS reports,BK-10
bookkeeping,Bookkeeping,"Day-to-day accounting and statutory returns kept current, so year-end is never a scramble.",Monthly,Virtual bookkeeping services,BK-11
bookkeeping,Bookkeeping,"Day-to-day accounting and statutory returns kept current, so year-end is never a scramble.",Monthly,Statutory compliance reporting,BK-12
notice-advisory,Notice advisory,"Received a notice? This is handled first, ahead of routine filings, with direct departmental representation.",Priority handling,GST notice assistance,NTC-01
notice-advisory,Notice advisory,"Received a notice? This is handled first, ahead of routine filings, with direct departmental representation.",Priority handling,GST non-filing notice support,NTC-02
notice-advisory,Notice advisory,"Received a notice? This is handled first, ahead of routine filings, with direct departmental representation.",Priority handling,GST notice appeal filings,NTC-03
notice-advisory,Notice advisory,"Received a notice? This is handled first, ahead of routine filings, with direct departmental representation.",Priority handling,GST bank recovery notice support,NTC-04
notice-advisory,Notice advisory,"Received a notice? This is handled first, ahead of routine filings, with direct departmental representation.",Priority handling,GST audit notice support,NTC-05
notice-advisory,Notice advisory,"Received a notice? This is handled first, ahead of routine filings, with direct departmental representation.",Priority handling,GST assessment notice support,NTC-06
notice-advisory,Notice advisory,"Received a notice? This is handled first, ahead of routine filings, with direct departmental representation.",Priority handling,GST enforcement notice support,NTC-07
notice-advisory,Notice advisory,"Received a notice? This is handled first, ahead of routine filings, with direct departmental representation.",Priority handling,GST revocation & surrender support,NTC-08
notice-advisory,Notice advisory,"Received a notice? This is handled first, ahead of routine filings, with direct departmental representation.",Priority handling,GST scrutiny notice advisory,NTC-09
notice-advisory,Notice advisory,"Received a notice? This is handled first, ahead of routine filings, with direct departmental representation.",Priority handling,GST summons advisory,NTC-10
notice-advisory,Notice advisory,"Received a notice? This is handled first, ahead of routine filings, with direct departmental representation.",Priority handling,All income tax notice support,NTC-11
notice-advisory,Notice advisory,"Received a notice? This is handled first, ahead of routine filings, with direct departmental representation.",Priority handling,Departmental representation,NTC-12
notice-advisory,Notice advisory,"Received a notice? This is handled first, ahead of routine filings, with direct departmental representation.",Priority handling,GST refund rejection support,NTC-13
notice-advisory,Notice advisory,"Received a notice? This is handled first, ahead of routine filings, with direct departmental representation.",Priority handling,Tax & GST notice management,NTC-14
licenses,Licenses & certificates,"Certification for visas, loans, tenders and other formal requirements.",3–5 days,Net worth certificate support,CRT-01
licenses,Licenses & certificates,"Certification for visas, loans, tenders and other formal requirements.",3–5 days,Turnover certificate support,CRT-02
licenses,Licenses & certificates,"Certification for visas, loans, tenders and other formal requirements.",3–5 days,Net working capital certificate,CRT-03
licenses,Licenses & certificates,"Certification for visas, loans, tenders and other formal requirements.",3–5 days,Net worth certificate for visa,CRT-04
licenses,Licenses & certificates,"Certification for visas, loans, tenders and other formal requirements.",3–5 days,Net worth certificate for loan,CRT-05
